"","N","model","mse","var","bias"
"1",100,"exp",0.0460324092528333,0.0460778528878027,-0.000796377999688563
"2",100,"weibull",0.0736174912546179,0.07236120929579,0.036450557857508
"3",100,"cox",0.0934835010859722,0.0928475837129333,0.0269956469963557
"4",150,"exp",0.0273123889248484,0.027314503057668,-0.0050199970356697
"5",150,"weibull",0.0431010039078601,0.042702983151256,0.0209934213446817
"6",150,"cox",0.0514140101571185,0.0512623175724303,0.0142462241404755
"7",200,"exp",0.0209486750281471,0.0208386700053566,-0.0114386927922644
"8",200,"weibull",0.031884650862517,0.0317971554280687,0.0109221147163193
"9",200,"cox",0.0396193971509997,0.0396486328836574,0.00322690257459504
"10",250,"exp",0.0171024409236404,0.017091234659882,0.00531953930507754
"11",250,"weibull",0.0275729631413901,0.0271925995698123,0.0201880204861119
"12",250,"cox",0.032644025107737,0.0324173479330811,0.0160964133454928
"13",300,"exp",0.0140320532222813,0.0140084764108602,-0.00613068412429509
"14",300,"weibull",0.0218003302810912,0.0217399960168887,0.00905948454490626
"15",300,"cox",0.026998887408461,0.0269674517089694,0.00764219544375877
"16",350,"exp",0.0124545974042206,0.0124652381787374,0.00135072708636705
"17",350,"weibull",0.0214641280776481,0.0212543554772494,0.015199570910916
"18",350,"cox",0.0266011364950444,0.0264467662944571,0.0134468199542414
"19",400,"exp",0.0107672251164392,0.0107767287858242,0.00112829934009201
"20",400,"weibull",0.0153161936429765,0.0151373335764697,0.0139282949453003
"21",400,"cox",0.0179475759735008,0.0179039761355626,0.00784243674336613
