"","N","model","mse","var","bias"
"1",100,"exp",0.577432025052293,0.0198168501478627,-0.746749617846959
"2",100,"weibull",0.120540652469916,0.0592903491961874,-0.247607741443852
"3",100,"cox",0.0934835010796952,0.0928475837070862,0.0269956469882867
"4",150,"exp",0.579459185086681,0.0112692661795265,-0.753791209933715
"5",150,"weibull",0.103448325653013,0.0353828339053091,-0.260961442710621
"6",150,"cox",0.0514140101571185,0.0512623175724303,0.0142462241404755
"7",200,"exp",0.581579870188527,0.00916196353444946,-0.756589101572057
"8",200,"weibull",0.0985008467870453,0.0261700057297905,-0.268992585516747
"9",200,"cox",0.0396193971509997,0.0396486328836574,0.00322690257459504
"10",250,"exp",0.561913159774945,0.00739419163917952,-0.744665268645856
"11",250,"weibull",0.0909104825838951,0.022491992563735,-0.2616122742012
"12",250,"cox",0.032644025109984,0.0324173479356873,0.0160964133344163
"13",300,"exp",0.570945005750436,0.0059915570201918,-0.751637838514842
"14",300,"weibull",0.0909628136537343,0.0177072518959395,-0.270690356329313
"15",300,"cox",0.0269989299721612,0.0269674975209246,0.00764198591712297
"16",350,"exp",0.565783098980686,0.00534899627206733,-0.748625040794717
"17",350,"weibull",0.0885856893271768,0.0176374206236635,-0.266394268189346
"18",350,"cox",0.0265969418928249,0.0264422113183509,0.0134600440486779
"19",400,"exp",0.56424555279802,0.00452494604492131,-0.748147800704609
"20",400,"weibull",0.0838885259207552,0.0121151267359192,-0.267928188721478
"21",400,"cox",0.0179475759735008,0.0179039761355626,0.00784243674336613
